date,generatedCoins,paymentCount,marketcap(USD),price(USD),marketcap(EUR),price(EUR)
2018-08-28,1912.5,368006.0,118768797345.0,6891.08,103328853690.15,5995.2396
2018-08-29,1737.5,388150.0,122240446825.0,7091.71,106349188737.75,6169.7877
2018-08-30,1924.99999924,347470.0,121426092460.0,7043.76,105640700440.2,6128.0712
2018-08-31,1937.49999844,394845.0,120236411575.0,6973.97,104605678070.25,6067.3539
2018-09-01,1887.5,338890.0,121471295533.0,7044.81,105680027113.71,6128.9847
2018-09-02,1799.99999923,294192.0,123981305470.0,7189.58,107863735758.9,6254.9346
2018-09-03,1799.99999924,341989.0,125536575445.0,7279.03,109216820637.15,6332.7561
2018-09-04,1575.0,354519.0,125273528713.0,7263.0,108987969980.31,6318.81
2018-09-05,1649.99999697,373480.0,126983440721.0,7361.46,110475593427.27,6404.4702
2018-09-06,1874.99999921,379621.0,116535447253.0,6755.14,101385839110.11,5876.9718
2018-09-07,1900.0,429552.0,112645200318.0,6528.92,98001324276.66,5680.1604
2018-09-08,1875.0,317533.0,111471362532.0,6460.17,96980085402.84,5620.3479
2018-09-09,2037.5,295698.0,107397286192.0,6223.38,93435638987.04,5414.3406
2018-09-10,1687.5,342312.0,108759350260.0,6301.57,94620634726.2,5482.3659
2018-09-11,1762.5,356798.0,109293238395.0,6331.88,95085117403.65,5508.7356
2018-09-12,2099.99999931,346528.0,109047547377.0,6317.01,94871366217.99,5495.7987
2018-09-13,1849.9999992,350225.0,109703600477.0,6354.24,95442132414.99,5528.1888
2018-09-14,1650.0,367077.0,112498115992.0,6515.41,97873360913.04,5668.4067
2018-09-15,1750.0,326120.0,112405369809.0,6509.4,97792671733.83,5663.178
2018-09-16,1737.49999922,280923.0,112887643665.0,6536.68,98212249988.55,5686.9116
2018-09-17,1687.5,362187.0,112508446995.0,6514.06,97882348885.65,5667.2322
2018-09-18,1775.0,356406.0,108492112339.0,6280.91,94388137734.93,5464.3917
2018-09-19,1950.0,355575.0,110074137715.0,6371.85,95764499812.05,5543.5095
2018-09-20,1925.0,364640.0,110553109981.0,6398.85,96181205683.47,5566.9995
2018-09-21,1799.99999927,436008.0,112552829858.0,6513.87,97920961976.46,5667.0669
2018-09-22,1937.49999923,333446.0,116386818047.0,6735.05,101256531700.89,5859.4935000000005
2018-09-23,1875.0,298092.0,116058736872.0,6715.32,100971101078.64,5842.328399999999
2018-09-24,1850.0,343175.0,115889159338.0,6704.77,100823568624.06,5833.1499
2018-09-25,2112.5,364132.0,114153287747.0,6603.64,99313360339.89,5745.1668
2018-09-26,1737.5,350095.0,111559240252.0,6452.79,97056539019.24,5613.9273
2018-09-27,1787.5,355229.0,112305283440.0,6495.29,97705596592.8,5650.9023
2018-09-28,1925.0,400405.0,115489513453.0,6678.75,100475876704.11,5810.5125
2018-09-29,1900.0,321741.0,114885697090.0,6643.1,99950556468.3,5779.497
2018-09-30,2037.5,308326.0,114234369232.0,6604.71,99383901231.84,5746.0977
2018-10-01,1975.0,360525.0,114509724600.0,6619.85,99623460402.0,5759.2695
2018-10-02,1712.5,359131.0,114062551875.0,6593.24,99234420131.25,5736.1188
